# Shyland V24.1 fight-cost survey dataset (#180) — commit ead50f5, RNG seed 180, N=10000 trials per row
encounter_id,kind,tier,members,rooms,encounter_level,player_level,is_at_level,scenario,n_trials,n_resolved,unwinnable_fraction,vitality_max,draught_heal,hp_loss_mean,hp_loss_std,hp_loss_p10,hp_loss_p90,hp_loss_frac_mean,rounds_mean,rounds_std,p_death_unhealed,draughts_per_fight,draught_cost_cp,potions_to_win,potions_to_win_flat25,hit_pct_mc
solo:black-bear,solo,normal,black-bear,,2,2,True,headline,10000,10000,0.0,368,74,5.1671,8.400594,0.0,18.0,0.014041,1.7139,1.036941,0.0,0.069826,1.047385,0,0,0.557442
solo:black-bear,solo,normal,black-bear,,2,2,True,bare,10000,10000,0.0,168,34,6.3629,10.151325,0.0,22.0,0.037874,1.7012,0.998959,0.0,0.187144,2.807162,0,0,0.561133
solo:black-bear,solo,normal,black-bear,,2,2,True,common-weapon,10000,10000,0.0,368,74,5.5357,8.651169,0.0,19.0,0.015043,1.7292,1.037626,0.0,0.074807,1.122101,0,0,0.551932
solo:black-bear,solo,normal,black-bear,,2,5,False,headline,10000,10000,0.0,404,81,0.07,0.741283,0.0,0.0,0.000173,1.0376,0.190227,0.0,0.000864,0.012963,0,0,0.962221
solo:black-bear,solo,normal,black-bear,,2,5,False,bare,10000,10000,0.0,204,41,0.0861,0.926869,0.0,0.0,0.000422,1.0348,0.183273,0.0,0.0021,0.0315,0,0,0.965114
solo:black-bear,solo,normal,black-bear,,2,5,False,common-weapon,10000,10000,0.0,404,81,0.1045,0.891504,0.0,0.0,0.000259,1.0551,0.228175,0.0,0.00129,0.019352,0,0,0.945029
solo:black-bear,solo,normal,black-bear,,2,10,False,headline,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:black-bear,solo,normal,black-bear,,2,10,False,bare,10000,10000,0.0,268,54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:black-bear,solo,normal,black-bear,,2,10,False,common-weapon,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:brown-bear,solo,elite,brown-bear,,7,5,False,headline,10000,10000,0.0,404,81,285.9944,130.973086,139.0,460.0,0.707907,10.8961,4.88421,0.1703,3.530795,52.961926,0,0,0.212342
solo:brown-bear,solo,elite,brown-bear,,7,5,False,bare,10000,10000,0.0,204,41,351.9608,161.75329,170.0,569.0,1.725298,10.88,4.883032,0.8246,8.58441,128.766146,5,8,0.212877
solo:brown-bear,solo,elite,brown-bear,,7,5,False,common-weapon,10000,10000,0.0,404,81,302.2384,134.839625,148.0,481.0,0.748115,11.4016,4.999832,0.2053,3.731338,55.970074,0,0,0.200524
solo:brown-bear,solo,elite,brown-bear,,7,7,True,headline,10000,10000,0.0,429,86,101.7608,48.70819,49.0,165.0,0.237205,5.2399,2.034293,0.0,1.183265,17.748977,0,0,0.456173
solo:brown-bear,solo,elite,brown-bear,,7,7,True,bare,10000,10000,0.0,229,46,124.4051,59.532017,58.0,204.0,0.543254,5.2044,2.020401,0.0577,2.704459,40.56688,0,0,0.461494
solo:brown-bear,solo,elite,brown-bear,,7,7,True,common-weapon,10000,10000,0.0,429,86,107.5455,49.960253,52.0,174.0,0.250689,5.4355,2.099771,0.0001,1.250529,18.757936,0,0,0.45098
solo:brown-bear,solo,elite,brown-bear,,7,10,False,headline,10000,10000,0.0,468,94,28.7148,21.965137,0.0,58.0,0.061356,2.9816,0.606021,0.0,0.305477,4.582149,0,0,0.813825
solo:brown-bear,solo,elite,brown-bear,,7,10,False,bare,10000,10000,0.0,268,54,35.7729,27.212768,0.0,72.0,0.133481,2.997,0.613181,0.0,0.662461,9.936917,0,0,0.813213
solo:brown-bear,solo,elite,brown-bear,,7,10,False,common-weapon,10000,10000,0.0,468,94,30.9181,22.478901,0.0,60.0,0.066064,3.065,0.622555,0.0,0.328916,4.933739,0,0,0.797553
solo:buffalo,solo,elite,buffalo,,5,5,True,headline,10000,10000,0.0,404,81,60.5359,33.811792,22.0,106.0,0.149841,3.9918,1.827877,0.0,0.747357,11.210352,0,0,0.46335
solo:buffalo,solo,elite,buffalo,,5,5,True,bare,10000,10000,0.0,204,41,74.3969,40.612833,28.0,128.0,0.364691,4.0042,1.798328,0.0098,1.814559,27.218378,0,0,0.460716
solo:buffalo,solo,elite,buffalo,,5,5,True,common-weapon,10000,10000,0.0,404,81,63.8177,35.487168,24.0,110.0,0.157965,4.1149,1.8891,0.0,0.787873,11.818093,0,0,0.455078
solo:buffalo,solo,elite,buffalo,,5,10,False,headline,10000,10000,0.0,468,94,2.8626,6.130768,0.0,11.0,0.006117,1.8873,0.316226,0.0,0.030453,0.456798,0,0,1.0
solo:buffalo,solo,elite,buffalo,,5,10,False,bare,10000,10000,0.0,268,54,3.61,7.620426,0.0,14.0,0.01347,1.8848,0.319263,0.0,0.066852,1.002778,0,0,1.0
solo:buffalo,solo,elite,buffalo,,5,10,False,common-weapon,10000,10000,0.0,468,94,3.4385,6.729162,0.0,11.0,0.007347,1.9088,0.287893,0.0,0.03658,0.548697,0,0,1.0
solo:cave-beetle,solo,normal,cave-beetle,,3,3,True,headline,10000,10000,0.0,379,76,12.3081,10.431077,0.0,25.0,0.032475,1.7979,1.050074,0.0,0.161949,2.42923,0,0,0.559709
solo:cave-beetle,solo,normal,cave-beetle,,3,3,True,bare,10000,10000,0.0,179,36,15.2284,13.081844,0.0,31.0,0.085075,1.8033,1.062925,0.0,0.423011,6.345167,0,0,0.559086
solo:cave-beetle,solo,normal,cave-beetle,,3,3,True,common-weapon,10000,10000,0.0,379,76,13.8876,11.445225,0.0,28.0,0.036643,1.9524,1.177852,0.0,0.182732,2.740974,0,0,0.546609
solo:cave-beetle,solo,normal,cave-beetle,,3,5,False,headline,10000,10000,0.0,404,81,4.6052,5.707042,0.0,13.0,0.011399,1.1932,0.433905,0.0,0.056854,0.852815,0,0,0.818304
solo:cave-beetle,solo,normal,cave-beetle,,3,5,False,bare,10000,10000,0.0,204,41,5.6081,7.042678,0.0,16.0,0.027491,1.2027,0.434756,0.0,0.136783,2.051744,0,0,0.811092
solo:cave-beetle,solo,normal,cave-beetle,,3,5,False,common-weapon,10000,10000,0.0,404,81,4.9291,5.925477,0.0,13.0,0.012201,1.2231,0.462306,0.0,0.060853,0.912796,0,0,0.796991
solo:cave-beetle,solo,normal,cave-beetle,,3,10,False,headline,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-beetle,solo,normal,cave-beetle,,3,10,False,bare,10000,10000,0.0,268,54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-beetle,solo,normal,cave-beetle,,3,10,False,common-weapon,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-centipede,solo,normal,cave-centipede,,3,3,True,headline,10000,10000,0.0,379,76,10.9514,9.360515,0.0,23.0,0.028896,1.6853,0.987858,0.0,0.144097,2.161461,0,0,0.568207
solo:cave-centipede,solo,normal,cave-centipede,,3,3,True,bare,10000,10000,0.0,179,36,13.6616,11.577084,0.0,28.0,0.076322,1.7176,1.017669,0.0,0.379489,5.692333,0,0,0.556998
solo:cave-centipede,solo,normal,cave-centipede,,3,3,True,common-weapon,10000,10000,0.0,379,76,11.577,9.780402,0.0,24.0,0.030546,1.7232,1.034882,0.0,0.152329,2.284934,0,0,0.554666
solo:cave-centipede,solo,normal,cave-centipede,,3,5,False,headline,10000,10000,0.0,404,81,4.3499,5.384131,0.0,12.0,0.010767,1.2069,0.441466,0.0,0.053702,0.805537,0,0,0.809181
solo:cave-centipede,solo,normal,cave-centipede,,3,5,False,bare,10000,10000,0.0,204,41,5.2571,6.474751,0.0,15.0,0.02577,1.2007,0.429208,0.0,0.128222,1.923329,0,0,0.811027
solo:cave-centipede,solo,normal,cave-centipede,,3,5,False,common-weapon,10000,10000,0.0,404,81,4.7127,5.590703,0.0,12.0,0.011665,1.2253,0.464693,0.0,0.058181,0.872722,0,0,0.793683
solo:cave-centipede,solo,normal,cave-centipede,,3,10,False,headline,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-centipede,solo,normal,cave-centipede,,3,10,False,bare,10000,10000,0.0,268,54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-centipede,solo,normal,cave-centipede,,3,10,False,common-weapon,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-spider,solo,normal,cave-spider,,2,2,True,headline,10000,10000,0.0,368,74,6.5563,5.809185,0.0,14.0,0.017816,1.6972,0.999556,0.0,0.088599,1.32898,0,0,0.563045
solo:cave-spider,solo,normal,cave-spider,,2,2,True,bare,10000,10000,0.0,168,34,8.3277,7.30035,0.0,18.0,0.04957,1.7234,1.042158,0.0,0.244932,3.673985,0,0,0.555356
solo:cave-spider,solo,normal,cave-spider,,2,2,True,common-weapon,10000,10000,0.0,368,74,7.1215,6.107056,0.0,15.0,0.019352,1.7416,1.062464,0.0,0.096236,1.443547,0,0,0.547944
solo:cave-spider,solo,normal,cave-spider,,2,5,False,headline,10000,10000,0.0,404,81,1.3677,2.477801,0.0,6.0,0.003385,1.0245,0.154595,0.0,0.016885,0.253278,0,0,0.959883
